GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
2016/01/01,4879,4.139372822299651
2016/01/02,3439,4.165455074149462
2016/01/03,3433,4.230702009903874
2016/01/04,3707,4.241704882654438
2016/01/05,3614,4.215273934698395
2016/01/06,3913,4.2967032967032965
2016/01/07,3862,4.228896944588296
2016/01/08,3874,4.2480640165203924
2016/01/09,3765,4.242762284196547
2016/01/10,3492,4.1815578465063
2016/01/11,3789,4.217471628397994
2016/01/12,3702,4.266342517558077
2016/01/13,3718,4.240182894029048
2016/01/14,3709,4.2601779455378805
2016/01/15,3858,4.215396578538103
2016/01/16,3652,4.1645673603504925
2016/01/17,3472,4.168778801843318
2016/01/18,3484,4.262342135476464
2016/01/19,3885,4.245302445302445
2016/01/20,3770,4.241114058355437
2016/01/21,3758,4.237892496008516
2016/01/22,3905,4.251472471190781
2016/01/23,3994,4.270155232849274
2016/01/24,3982,4.181064791562029
2016/01/25,4558,4.278630978499342
2016/01/26,4253,4.270867622854456
2016/01/27,3966,4.252647503782148
2016/01/28,4039,4.239910869026986
2016/01/29,4068,4.240904621435595
2016/01/30,3753,4.208100186517453
2016/01/31,3663,4.182637182637182
2016/02/01,4124,4.246362754607177
2016/02/02,4077,4.253863134657837
2016/02/03,3904,4.248975409836065
2016/02/04,4027,4.262478271666253
2016/02/05,4007,4.23733466433741
2016/02/06,3798,4.231700895208005
2016/02/07,3539,4.156541395874541
2016/02/08,3769,4.213319182807111
2016/02/09,3846,4.22646905876235
2016/02/10,3921,4.288191787809232
2016/02/11,3848,4.228690228690229
2016/02/12,3872,4.229338842975206
2016/02/13,3622,4.197680839315296
2016/02/14,3443,4.185884403136799
2016/02/15,3785,4.2100396301188905
2016/02/16,4161,4.2028358567652
2016/02/17,3813,4.295567794387622
2016/02/18,3777,4.278792692613185
2016/02/19,3801,4.184951328597737
2016/02/20,3912,4.167433537832311
2016/02/21,3653,4.134683821516561
2016/02/22,4110,4.184671532846715
2016/02/23,3861,4.2994042994043
2016/02/24,3999,4.2448112028007
2016/02/25,3982,4.2262682069311905
2016/02/26,4079,4.231429271880363
2016/02/27,3776,4.17770127118644
2016/02/28,3649,4.08687311592217
2016/02/29,4177,4.146756045008379
2016/03/01,4026,4.236214605067064
2016/03/02,3913,4.221058011755686
2016/03/03,3970,4.214609571788413
2016/03/04,4069,4.274268862128287
2016/03/05,3876,4.121517027863777
2016/03/06,3749,4.173646305681515
2016/03/07,4353,4.204226969905812
2016/03/08,4281,4.154870357393133
2016/03/09,4395,4.223435722411832
2016/03/10,4450,4.2202247191011235
2016/03/11,4428,4.2985546522131886
2016/03/12,3997,4.176132099074306
2016/03/13,3666,4.0793780687397705
2016/03/14,4083,4.21356845456772
2016/03/15,4182,4.253228120516499
2016/03/16,4001,4.2279430142464385
2016/03/17,4277,4.245265372924948
2016/03/18,4055,4.230826140567201
2016/03/19,3605,4.169209431345354
2016/03/20,3408,4.220950704225352
2016/03/21,3896,4.270277207392197
2016/03/22,3802,4.2498684902682795
2016/03/23,4053,4.248951394029114
2016/03/24,3981,4.276061291132881
2016/03/25,3850,4.179220779220779
2016/03/26,3569,4.176520033622864
2016/03/27,3418,4.195435927442949
2016/03/28,3874,4.280588538977801
2016/03/29,3728,4.247049356223176
2016/03/30,3982,4.215720743345052
2016/03/31,4027,4.250558728582071
2016/04/01,4346,4.206166589967786
2016/04/02,3897,4.204003079291763
2016/04/03,3501,4.163096258211939
2016/04/04,3965,4.189407313997478
2016/04/05,3877,4.237554810420428
2016/04/06,3895,4.275224646983312
2016/04/07,3948,4.23758865248227
