,Date,Incident Count
899,10/27/2017,4114
989,11/26/2017,3520
1079,12/26/2017,3814
867,10/16/2018,4065
957,11/15/2018,4451
1047,12/15/2018,4274
883,10/22/2016,3579
973,11/21/2016,3752
1063,12/21/2016,4086
854,10/12/2017,4031
941,11/10/2017,3833
1031,12/10/2017,3778
912,10/31/2018,4169
1002,11/30/2018,4287
1089,12/29/2018,3987
907,10/30/2016,4064
997,11/29/2016,3945
1087,12/29/2016,3951
875,10/19/2017,4244
965,11/18/2017,3900
1055,12/18/2017,4340
0,1/1/2016,4879
3,1/2/2016,3439
6,1/3/2016,3433
9,1/4/2016,3707
12,1/5/2016,3614
15,1/6/2016,3913
18,1/7/2016,3862
21,1/8/2016,3874
24,1/9/2016,3765
27,1/10/2016,3492
30,1/11/2016,3789
33,1/12/2016,3702
36,1/13/2016,3718
39,1/14/2016,3709
42,1/15/2016,3858
45,1/16/2016,3652
48,1/17/2016,3472
51,1/18/2016,3484
54,1/19/2016,3885
57,1/20/2016,3770
60,1/21/2016,3758
63,1/22/2016,3905
69,1/24/2016,3982
72,1/25/2016,4558
75,1/26/2016,4253
78,1/27/2016,3966
81,1/28/2016,4039
84,1/29/2016,4068
87,1/30/2016,3753
90,1/31/2016,3663
93,2/1/2016,4124
96,2/2/2016,4077
99,2/3/2016,3904
102,2/4/2016,4027
105,2/5/2016,4007
108,2/6/2016,3798
111,2/7/2016,3539
114,2/8/2016,3769
117,2/9/2016,3846
120,2/10/2016,3921
123,2/11/2016,3848
126,2/12/2016,3872
129,2/13/2016,3622
132,2/14/2016,3443
135,2/15/2016,3785
138,2/16/2016,4161
141,2/17/2016,3813
144,2/18/2016,3777
147,2/19/2016,3801
150,2/20/2016,3912
153,2/21/2016,3653
159,2/23/2016,3861
162,2/24/2016,3999
165,2/25/2016,3982
168,2/26/2016,4079
171,2/27/2016,3776
174,2/28/2016,3649
177,2/29/2016,4177
178,3/1/2016,4026
181,3/2/2016,3913
184,3/3/2016,3970
187,3/4/2016,4069
190,3/5/2016,3876
193,3/6/2016,3749
196,3/7/2016,4353
199,3/8/2016,4281
202,3/9/2016,4395
205,3/10/2016,4450
208,3/11/2016,4428
211,3/12/2016,3997
214,3/13/2016,3666
217,3/14/2016,4083
220,3/15/2016,4182
223,3/16/2016,4001
226,3/17/2016,4277
229,3/18/2016,4055
232,3/19/2016,3605
235,3/20/2016,3408
238,3/21/2016,3896
241,3/22/2016,3802
247,3/24/2016,3981
250,3/25/2016,3850
253,3/26/2016,3569
256,3/27/2016,3418
259,3/28/2016,3874
262,3/29/2016,3728
265,3/30/2016,3982
268,3/31/2016,4027
271,4/1/2016,4346
274,4/2/2016,3897
277,4/3/2016,3501
280,4/4/2016,3965
283,4/5/2016,3877
286,4/6/2016,3895
289,4/7/2016,3948
292,4/8/2016,3922
295,4/9/2016,3482
298,4/10/2016,3582
301,4/11/2016,4069
304,4/12/2016,3824
307,4/13/2016,4038
310,4/14/2016,3898
313,4/15/2016,3950
316,4/16/2016,3886
319,4/17/2016,3876
322,4/18/2016,4150
325,4/19/2016,4122
328,4/20/2016,4028
331,4/21/2016,4172
337,4/23/2016,3908
340,4/24/2016,3550
343,4/25/2016,4054
346,4/26/2016,3596
349,4/27/2016,3742
352,4/28/2016,3529
355,4/29/2016,3609
358,4/30/2016,3859
361,5/1/2016,3353
364,5/2/2016,3833
367,5/3/2016,3913
370,5/4/2016,3964
373,5/5/2016,3787
376,5/6/2016,3936
379,5/7/2016,3690
382,5/8/2016,3642
385,5/9/2016,4176
388,5/10/2016,3973
391,5/11/2016,4268
394,5/12/2016,4178
397,5/13/2016,3941
400,5/14/2016,3782
403,5/15/2016,3569
406,5/16/2016,4077
409,5/17/2016,3927
412,5/18/2016,3920
415,5/19/2016,3942
418,5/20/2016,4227
424,5/22/2016,3610
427,5/23/2016,4129
430,5/24/2016,3983
433,5/25/2016,4268
436,5/26/2016,4309
439,5/27/2016,4354
442,5/28/2016,4202
445,5/29/2016,4049
448,5/30/2016,3661
451,5/31/2016,4338
454,6/1/2016,4170
457,6/2/2016,4073
460,6/3/2016,3989
463,6/4/2016,3970
466,6/5/2016,3585
469,6/6/2016,4309
472,6/7/2016,4116
475,6/8/2016,3862
478,6/9/2016,3832
481,6/10/2016,4279
484,6/11/2016,4241
487,6/12/2016,4062
490,6/13/2016,4051
493,6/14/2016,3919
496,6/15/2016,4088
499,6/16/2016,3986
502,6/17/2016,4086
505,6/18/2016,4127
508,6/19/2016,3855
514,6/21/2016,4117
517,6/22/2016,4135
520,6/23/2016,4087
523,6/24/2016,4292
526,6/25/2016,3965
529,6/26/2016,3904
532,6/27/2016,4339
535,6/28/2016,3857
538,6/29/2016,4110
541,6/30/2016,4121
544,7/1/2016,4009
547,7/2/2016,3882
550,7/3/2016,3876
553,7/4/2016,3800
556,7/5/2016,4295
559,7/6/2016,4172
562,7/7/2016,4363
565,7/8/2016,4101
568,7/9/2016,3693
571,7/10/2016,3864
574,7/11/2016,4081
